com_id,common_name,scientific_name,latitude,longitude,year_planted,precinct
1069226,Spotted Gum,Corymbia maculata,-37.78105009,144.942013,2007,Parkville
1034908,English Oak,Quercus robur,-37.84392768,144.984265,1900,South Yarra
1916956,Mallee Pine,Callitris gracilis,-37.82011213,144.9811363,2024,East Melbourne
1014955,London Plane,Platanus x acerifolia,-37.80133567,144.9522783,1900,North Melbourne
1613701,Brittle Gum,Eucalyptus mannifera,-37.80026761,144.9515265,2016,North Melbourne
1030317,Lilly Pilly,Syzygium smithii,-37.82846828,144.9681361,1900,Southbank
1826196,Drooping sheoak,Allocasuarina verticillata,-37.82362028,144.9079972,2022,Port Melbourne
1493111,Manchurian Pear,Pyrus ussuriensis,-37.79477134,144.9419634,2011,North Melbourne
1849595,River red gum,Eucalyptus camaldulensis,-37.79127496,144.9192725,2023,Flemington
1049751,Yellow Box,Eucalyptus melliodora,-37.79111694,144.9464948,1900,Parkville
1939162,Chinaberry Tree,Melia azedarach 'Elite',-37.80677626,144.9490589,2025,West Melbourne
1050344,Ironbark,Eucalyptus sideroxylon,-37.78300848,144.9550325,1900,Parkville
1025983,English Elm,Ulmus procera,-37.80946422,144.986784,1900,East Melbourne
1578975,River Sheoak,Casuarina cunninghamiana,-37.82258397,144.9471289,2015,Docklands
1570947,Chinaberry Tree,Melia azedarach,-37.78681618,144.9691903,2014,Carlton North
1763463,Rough-barked apple,Angophora floribunda,-37.82742771,144.9857772,2019,Melbourne
1510124,Ivy curl,Buckinghamia celsissima,-37.80254417,144.9483455,2012,North Melbourne
1603674,Drooping sheoak,Allocasuarina verticillata,-37.7869681,144.9415325,2015,Parkville
1735382,Smooth-barked apple,Angophora costata,-37.80509587,144.9680487,2018,Carlton
1050858,Spotted Gum,Corymbia maculata,-37.77808287,144.9572858,1900,Parkville
1049188,Paperbark,Melaleuca sp.,-37.78994284,144.9455633,1900,Parkville
1512247,Chinaberry Tree,Melia azedarach,-37.80666341,144.9514697,2012,West Melbourne
1018034,Brush Box,Lophostemon confertus,-37.79149803,144.9446287,1900,North Melbourne
1584481,Swamp Sheoak,Casuarina obesa,-37.79523131,144.952362,2015,Parkville
1040671,English Elm,Ulmus procera,-37.81247803,144.9804846,1900,East Melbourne
1477119,Ironbark,Eucalyptus sideroxylon,-37.81853146,144.9742379,2011,Melbourne
1664257,Boobialla,Myoporum insulare,-37.79515622,144.9140172,2017,Kensington
1573229,Red Ironbark,Eucalyptus tricarpa,-37.7962038,144.9514752,2015,Parkville
1811615,Silver linden,Tilia tomentosa,-37.81966341,144.9719097,2021,Melbourne
1917023,Hop bush,Dodonaea viscosa 'Mr Green Sheen',-37.7771606,144.9507617,2024,Parkville
1786098,Mutton-Wood,Myrsine howittiana,-37.80250161,144.9220007,2020,West Melbourne
1032107,Daimyo Oak,Quercus dentata,-37.83073558,144.9750226,1900,Melbourne
1808629,River Sheoak,Casuarina cunninghamiana,-37.8205716,144.9462889,2021,Docklands
1565037,Flinders Range Wattle,Acacia iteaphylla,-37.7910016,144.9242677,2014,Kensington
1455692,River red gum,Eucalyptus camaldulensis,-37.79523974,144.9144338,2010,Kensington
1288171,River red gum,Eucalyptus camaldulensis,-37.78173408,144.9410777,2008,Parkville
1054892,Snow-in-Summer,Melaleuca linariifolia,-37.77865842,144.9500324,1900,Parkville
1553374,Small-leaved Linden,Tilia cordata,-37.81789264,144.9785924,2013,East Melbourne
1035533,Deodar,Cedrus deodara,-37.83829561,144.9849765,1900,South Yarra
1808154,River Sheoak,Casuarina cunninghamiana,-37.82079362,144.9465528,2021,Docklands
1757981,Smooth-barked apple,Angophora costata,-37.8243953,144.966951,2019,Southbank
1026378,Snow-in-Summer,Melaleuca linariifolia,-37.81199381,144.9879939,1900,East Melbourne
1287971,Maidenhair Tree,Ginkgo biloba,-37.7936972,144.9561413,2008,Parkville
1070465,Ironbark,Eucalyptus sideroxylon,-37.82324823,144.9086631,2006,Port Melbourne
1533995,Scarlet Oak,Quercus coccinea,-37.81292484,144.9850497,2013,East Melbourne
1023891,London Plane,Platanus x acerifolia,-37.80933307,144.9651272,1900,Melbourne
1523963,Lightwood Wattle,Acacia implexa,-37.7896497,144.9510186,2012,Parkville
1931850,Gippsland manna gum,Eucalyptus viminalis subsp. pryoriana,-37.78848516,144.9504757,2025,Parkville
1440304,Spotted Gum,Corymbia maculata,-37.80022207,144.9521865,2009,North Melbourne
1289436,Weeping Myrtle,Syzygium floribundum,-37.80896949,144.9672394,2007,Melbourne
1455349,Lemon Scented Gum,Corymbia citriodora,-37.82741256,144.9729095,2010,Melbourne
1557815,HillŸ??s Weeping Fig,Ficus microcarpa var. hillii,-37.81380895,144.9424399,2014,Docklands
1605334,Swamp Paperbark,Melaleuca ericifolia,-37.80202308,144.9138485,2015,West Melbourne
1929799,Sweet Bursaria,Bursaria spinosa,-37.78166335,144.9429068,2025,Parkville
1016350,London Plane,Platanus x acerifolia,-37.79565303,144.9306131,1900,Kensington
1635032,Banksia Sentinel,Banksia integrifolia fastigiata Ÿ??SentinelŸ??,-37.82004581,144.9467563,2016,Docklands
1018198,Spotted Gum,Corymbia maculata,-37.79348837,144.9432397,1900,North Melbourne
1024909,London Plane,Platanus x acerifolia,-37.81716976,144.9671982,1900,Melbourne
1674940,Black She Oak,Allocasuarina littoralis,-37.78240508,144.9417554,2017,Parkville
1805118,Silver Banksia,Banksia marginata,-37.79036273,144.9567147,2021,Parkville
1663274,Manna Gum,Eucalyptus viminalis,-37.79334315,144.9510665,2017,Parkville
1570976,London Plane,Platanus x acerifolia,-37.82027218,144.9675251,2014,Southbank
1827797,Black Wattle,Acacia mearnsii,-37.77912274,144.9543477,2022,Parkville
1527646,Grey Gum,Eucalyptus punctata,-37.79165424,144.9567074,2012,Parkville
1605176,Large-fruited Yellow or Blue Gum,Eucalyptus leucoxylon megalocarpa,-37.79208533,144.9501627,2015,Parkville
1518221,Turkey Oak,Quercus cerris,-37.80258585,144.9727095,2012,Carlton
1605076,Yellow Gum,Eucalyptus leucoxylon,-37.79375959,144.9482717,2015,Parkville
1036517,London Plane,Platanus x acerifolia,-37.80238066,144.9730049,1900,Carlton
1675203,Trident maple,Acer buergerianum,-37.80594481,144.9417418,2017,West Melbourne
1849554,Umbrella plant,Schefflera amate,-37.81292533,144.9690657,2023,Melbourne
1058499,Tulip Tree,Liriodendron tulipifera,-37.81169109,144.9825494,1900,East Melbourne
1525274,Black Wattle,Acacia melanoxylon,-37.78240524,144.9491953,2012,Parkville
1518325,Hedge Maple,Acer campestre,-37.79373008,144.9200811,2012,Kensington
1808102,River Sheoak,Casuarina cunninghamiana,-37.82084443,144.9467086,2021,Docklands
1521583,River red gum,Eucalyptus camaldulensis,-37.78325354,144.9461938,2012,Parkville
1047029,Pyramid Tree,Lagunaria patersonia,-37.78844919,144.9565211,1900,Parkville
1032974,Liquidamber or Sweet Gum,Liquidambar styraciflua,-37.82566121,144.9760465,1900,Melbourne
